Timestamp,Status,WellHeadPressure,TubingPressure,FlowRate,WellHeadTemperature,AnomalyType
2023-01-01 00:00:00,1.0,2496.9599790713823,2000.2357881786522,497.1199648357573,159.98774232961392,
2023-01-01 01:00:00,1.0,2500.757610754299,1994.191885104079,497.8648583179644,160.69701537568275,
2023-01-01 02:00:00,1.0,2503.9903694080244,1997.8286119558024,498.32675955931325,160.4278245391486,
2023-01-01 03:00:00,,2507.9543662935744,2005.496774140335,502.0915007465817,160.10514042822228,
2023-01-01 04:00:00,1.0,2495.066611773311,2001.7230445576342,497.5708379816945,159.3709527914669,
2023-01-01 05:00:00,1.0,2504.1045140987194,1990.90380213437,503.082038978081,159.84402771812455,
2023-01-01 06:00:00,1.0,2502.7213218808906,2000.159028624137,502.17538312484874,159.9095974266227,
2023-01-01 07:00:00,1.0,2507.6473353036026,1992.3201554812306,506.2087899628938,159.40796628782115,
2023-01-01 08:00:00,1.0,2501.1228682544556,2004.8085822913145,502.88241555152274,159.57681849123074,
2023-01-01 09:00:00,1.0,2498.5254649226317,1992.333003894528,501.81313529848734,160.38770498561126,
2023-01-01 10:00:00,1.0,2484.3953979259795,1999.7583311055716,500.8712436322007,159.65658285350625,
2023-01-01 11:00:00,1.0,2501.0841364806474,2002.1497629852802,503.7989448153494,160.315028656519,
2023-01-01 12:00:00,1.0,2495.3004987703193,1998.20092148843,502.7870442350975,159.38238825212713,
2023-01-01 13:00:00,1.0,2485.799436905574,1997.2663922513668,502.3130620069486,159.47891756868654,
2023-01-01 14:00:00,1.0,2499.767926730688,2001.139400722512,500.3658052221106,160.0435998969742,
2023-01-01 15:00:00,1.0,2512.6380655497865,1995.8587446161828,,159.93699515333748,
2023-01-01 16:00:00,1.0,2496.3870103032723,,503.11184927753953,160.46823564586617,
2023-01-01 17:00:00,1.0,2516.501746574125,,500.8647252783922,160.8147098691124,
2023-01-01 18:00:00,1.0,2489.0467846012534,2008.1942549865323,499.80648052636076,160.16837040721626,
2023-01-01 19:00:00,1.0,2487.6215583606922,1999.0898060576967,500.9671373405658,159.92252234820663,
2023-01-01 20:00:00,1.0,2495.7080345962886,2003.2435818669635,501.09425253051774,159.94777738046932,
2023-01-01 21:00:00,1.0,2510.5369477590343,1987.954367328995,498.6662148600845,160.32640068648402,
2023-01-01 22:00:00,1.0,2502.503616737282,2002.3004450975766,501.2011504319125,160.52905427102098,
2023-01-01 23:00:00,1.0,2495.3592359448057,1992.0075502116258,506.5000003279755,159.22387514541026,
2023-01-02 00:00:00,1.0,2494.078311541415,1993.371645738679,496.49616873766763,160.26606893066162,
2023-01-02 01:00:00,1.0,2500.9344252414744,1991.616517699202,491.24470361610736,160.07447544070277,
2023-01-02 02:00:00,1.0,2486.0946807231608,1998.429109288454,498.1845786683051,160.13466680130003,
